month_id,subscriber_uid,city,fsa,services_subscribed_name,internet_service_level,internet_rgu,account_mrr,internet_mrr
1705,5160684,FORT MCMURRAY,T9K,Video - Internet,High Speed 10(GF),1,148.95,65
1705,1516550,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,136,40
1705,1514403,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,156,35.05
1705,1573677,FORT MCMURRAY,T9K,Video - Internet - Phone,High Speed 20(GF),1,154.9,72
1705,1553954,FORT MCMURRAY,T9H,Internet - Phone,Internet 150,1,76,60
1705,10174121,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,90,60
1705,10045129,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,125.9,79.9
1705,10039845,FORT MCMURRAY,T9H,Internet,Internet 30,1,75,75
1705,1563064,FORT MCMURRAY,T9H,Internet,High Speed 10(GF),1,65,65
1705,1567422,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,132.9,79.9
1705,1570274,FORT MCMURRAY,T9K,Internet,Internet 15,1,66,66
1705,5161066,FORT MCMURRAY,T9K,Internet,Internet 30,1,75,75
1705,1512880,FORT MCMURRAY,T9H,Video - Internet - Phone,Broadband 50(GGF),1,239,93
1705,1572005,FORT MCMURRAY,T9H,Video - Internet,Extreme(GF),1,170,70
1705,1518856,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,234.95,62
1705,1548448,FORT MCMURRAY,T9K,Video - Internet - Phone,Broadband 50(GGF),1,212,65
1705,5264986,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 15,1,156,66
1705,1547218,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,146,75
1705,1561933,FORT MCMURRAY,T9H,Video - Internet,High Speed 10(GF),1,104,65
1705,9632130,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,183,75
1705,1570526,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1526344,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,153,73
1705,8699960,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1565616,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 15,1,186,66
1705,1546012,FORT MCMURRAY,T9H,Internet,Broadband 50(GGF),1,93,93
1705,5567259,FORT MCMURRAY,T9K,Video - Internet - Phone,Broadband 50(GGF),1,218,93
1705,6075960,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,194.9,79.9
1705,1514561,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,208.9,79.9
1705,9171065,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 60,1,197,95
1705,9619143,FORT MCMURRAY,T9H,Internet,Internet 30,1,75,75
1705,10196711,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,99.89,47.5
1705,1524375,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,212,100
1705,1512882,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,212,35.05
1705,1567371,FORT MCMURRAY,T9K,Video - Internet,Internet 5,1,123.95,55
1705,9222313,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,99,66
1705,8678918,FORT MCMURRAY,T9H,Internet,High-Speed(GF),1,88,73
1705,10320482,FORT MCMURRAY,T9H,Internet,Internet 60,1,NULL,NULL
1705,10247546,FORT MCMURRAY,T9H,Internet,Internet 150,1,50,50
1705,1524620,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,190,75
1705,1517134,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,195.79,35.05
1705,1513738,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,210.9,79.9
1705,1520295,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,190.9,79.9
1705,8887719,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,173,65
1705,1571614,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,131,66
1705,9903416,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,69.9,49.9
1705,1562947,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1562952,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,10266987,FORT MCMURRAY,T9K,Internet,Internet 150,1,60,60
1705,10103529,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,74.9,47.5
1705,1524490,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 60,1,261,95
1705,5161030,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,156,100
1705,1522574,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,196.9,69.9
1705,1542098,FORT MCMURRAY,T9H,Video - Internet,Extreme(GF),1,152.95,73
1705,1520076,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,147,66
1705,1518459,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,149,73
1705,1533041,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 15,1,141,66
1705,9164956,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,158,75
1705,5161699,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,1514064,FORT MCMURRAY,T9K,Video - Internet,Internet 5,1,85,50
1705,1515063,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,199.85,62
1705,9353289,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,125.9,79.9
1705,9030771,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,150.9,79.9
1705,1543462,FORT MCMURRAY,T9K,Internet,Internet 15,1,66,66
1705,1564902,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,1563006,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1526477,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,184,90
1705,9894252,FORT MCMURRAY,T9K,Internet,Internet 60,1,95,95
1705,6276493,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,158.9,79.9
1705,1553835,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,86,45
1705,1553489,FORT MCMURRAY,T9H,Video - Internet,Internet 5,1,101,55
1705,9239633,FORT MCMURRAY,T9H,Internet - Phone,High Speed 10(GF),1,0,0
1705,5764231,FORT MCMURRAY,T9K,Internet - Phone,High Speed 10(GF),1,0,0
1705,1570282,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,176,61
1705,9407511,FORT MCMURRAY,T9K,Internet,Internet 30,1,75,75
1705,1567925,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,9360330,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,183.9,79.9
1705,5764532,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,195,75
1705,9823040,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,104.9,46.8
1705,10033456,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,122,60
1705,1564884,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,1513749,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 10(GF),1,248.95,65
1705,10085472,FORT MCMURRAY,T9H,Internet,Internet 15,1,0,0
1705,4669884,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,1525032,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,125,75
1705,1516540,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,186,73
1705,1569356,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,245,75
1705,1514284,FORT MCMURRAY,T9H,Video - Internet - Phone,Broadband 50(GGF),1,233,84
1705,1531342,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 15,1,146,61
1705,5822126,FORT MCMURRAY,T9K,Video - Internet,High Speed 10(GF),1,111,65
1705,9950437,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,79.9,50
1705,6075994,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,1522717,FORT MCMURRAY,T9J,Internet,High-Speed(GF),1,1.95,0
1705,1525572,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,170.9,79.9
1705,8910327,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,71,45
1705,10133956,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,74.9,47.5
1705,5474532,FORT MCMURRAY,T9K,Internet,High-Speed(GF),1,0,0
1705,9463001,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,164.9,79.9
1705,1519221,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,282,75
1705,1573753,FORT MCMURRAY,T9H,Video - Internet,Extreme(GF),1,165.9,73
1705,8786389,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 15,1,138,66
1705,6374003,FORT MCMURRAY,T9H,Internet,High Speed 10(GF),1,0,0
1705,9779419,FORT MCMURRAY,T9K,Internet,Internet 150,1,79.9,79.9
1705,10135336,FORT MCMURRAY,T9H,Internet,Internet 120,1,29,29
1705,9864801,FORT MCMURRAY,T9H,Internet,Internet 150 Plus,1,99.9,99.9
1705,1518069,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,178,35.05
1705,1539255,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,213.9,73
1705,1515871,FORT MCMURRAY,T9K,Video - Internet - Phone,Broadband 50(GGF),1,231.95,60
1705,1541295,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,199.85,73
1705,6042078,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,212.9,69.9
1705,9439123,FORT MCMURRAY,T9H,Internet,Internet 30,1,75,75
1705,9999978,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,125.9,46.2
1705,1555953,FORT MCMURRAY,T9H,Video - Internet,Internet 5,1,101,55
1705,5014994,FORT MCMURRAY,T9H,Internet,Internet 5,1,55,55
1705,1530418,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 10(GF),1,163,65
1705,6212220,FORT MCMURRAY,T9K,Internet,High Speed 10(GF),1,65,65
1705,1514279,FORT MCMURRAY,T9H,Video - Internet,Internet 5,1,111,55
1705,10091857,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,75,50
1705,9945430,FORT MCMURRAY,T9H,Internet,Internet 150,1,49.9,49.9
1705,9785030,FORT MCMURRAY,T9K,Internet - Phone,Internet 30,1,0,0
1705,1516748,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,198,75
1705,4670089,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,207.9,79.9
1705,1560451,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,5,0
1705,1518627,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,142,66
1705,5065279,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,167,75
1705,5263750,FORT MCMURRAY,T9K,Internet,Internet 30,1,65,65
1705,1514272,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,176,75
1705,4718118,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 15,1,191.99,61
1705,1517493,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,260.9,79.9
1705,1546024,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,157.9,69.9
1705,9020176,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,174,75
1705,4669537,FORT MCMURRAY,T9H,Video - Internet,Broadband 50(GGF),1,184,89
1705,1539733,FORT MCMURRAY,T9H,Internet - Phone,Internet 30,1,60,50
1705,1543709,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,136,90
1705,9894248,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,112.9,46.8
1705,5523269,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,181,75
1705,9600269,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,176,75
1705,10361530,FORT MCMURRAY,T9H,Internet,Internet 150,1,49.9,49.9
1705,5709552,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,0,0
1705,9318048,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,125,65
1705,9407517,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,135.9,84.9
1705,1536639,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,192.88,79.9
1705,1514533,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,105,73
1705,1543377,FORT MCMURRAY,T9J,Video - Internet,High-Speed(GF),1,149,73
1705,9819018,FORT MCMURRAY,T9H,Internet,Internet 150,1,49.9,49.9
1705,4874741,FORT MCMURRAY,T9K,Internet,Internet 150,1,69.9,49.9
1705,1556589,FORT MCMURRAY,T9K,Internet - Phone,Internet 150,1,89.9,79.9
1705,1518405,FORT MCMURRAY,T9K,Internet - Phone,Internet 150,1,105.9,79.9
1705,8835067,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,211.9,69.9
1705,1518444,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 15,1,152.99,66
1705,1538337,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,109.9,79.9
1705,9809592,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,181,100
1705,1565227,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,205,70
1705,1515468,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,182.9,79.9
1705,9942628,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,137.9,46.2
1705,9790231,FORT MCMURRAY,T9K,Internet,Internet 30,1,75,75
1705,1536505,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 60,1,80,50
1705,10300967,FORT MCMURRAY,T9J,Video - Internet,Internet 30,1,78,45
1705,10348753,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,65,40
1705,1544443,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,207.9,79.9
1705,1534851,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,156.9,79.9
1705,9925312,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
1705,1518312,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,189.9,79.9
1705,8699957,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1543908,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,131,66
1705,1560292,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,113,75
1705,9454732,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,212,75
1705,9785052,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,135.9,79.9
1705,10028525,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,112,66
1705,1570756,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,147,75
1705,6192390,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,84.9,39.9
1705,9937165,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
1705,1519942,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 60,1,106,45
1705,4874580,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,172.9,79.9
1705,10346700,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
1705,1564487,FORT MCMURRAY,T9H,Video - Internet - Phone,Broadband 50(GGF),1,248.99,89
1705,1513534,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 10(GF),1,211,65
1705,4921366,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,194.8,79.9
1705,4966794,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 20(GF),1,217.95,72
1705,1552120,FORT MCMURRAY,T9H,Internet,High-Speed(GF),1,1.95,0
1705,1523392,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,120.9,79.9
1705,1541193,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,138,35.05
1705,9957681,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
1705,5215776,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 10(GF),1,182,65
1705,9798820,FORT MCMURRAY,T9H,Internet,Internet 30,1,75,75
1705,10325955,FORT MCMURRAY,T9K,Internet,High-Speed(GF),1,0,0
1705,5313705,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,148.9,49.9
1705,1522087,FORT MCMURRAY,T9K,Video - Internet - Phone,High-Speed(GF),1,165,73
1705,9903422,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,105.89,46.2
